,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chokurdakh,70.6333,147.9167,-24.2,80,0,8.48,RU,1616138774
1,arraial do cabo,-22.9661,-42.0278,75.58,88,4,16.08,BR,1616138474
3,mar del plata,-38.0023,-57.5575,54,100,0,3.44,AR,1616138774
4,carnarvon,-24.8667,113.6333,91.4,33,0,13.8,AU,1616138775
5,sabha,27.0377,14.4283,73.31,16,0,14.54,LY,1616138775
6,hobart,-42.8794,147.3294,73,49,20,11.5,AU,1616138776
7,lebu,-37.6167,-73.65,52.14,89,0,3.74,CL,1616138776
8,hendek,40.7994,30.7481,44.6,93,90,1.14,TR,1616138777
9,pontianak,-0.0333,109.3333,86,70,75,12.66,ID,1616138777
10,rikitea,-23.1203,-134.9692,80.2,78,100,16.75,PF,1616138777
11,dikson,73.5069,80.5464,-27.45,93,0,10.45,RU,1616138778
12,butaritari,3.0707,172.7902,81.9,77,0,10.36,KI,1616138778
14,ushuaia,-54.8,-68.3,44.6,70,75,6.91,AR,1616138490
15,dawlatabad,36.4141,64.9053,78.28,28,100,2.21,AF,1616138779
16,upernavik,72.7868,-56.1549,-5.82,93,58,4.7,GL,1616138779
17,vaini,-21.2,-175.2,78.8,89,20,3.44,TO,1616138780
18,baruun-urt,46.6806,113.2792,33.4,38,100,11.16,MN,1616138780
19,tuatapere,-46.1333,167.6833,55.99,81,52,5.01,NZ,1616138781
20,albany,42.6001,-73.9662,30,36,100,3,US,1616138781
21,mataura,-46.1927,168.8643,55.99,81,45,5.01,NZ,1616138782
22,makakilo city,21.3469,-158.0858,69.8,68,90,9.22,US,1616138782
23,pisco,-13.7,-76.2167,68,83,0,3.44,PE,1616138692
24,bluff,-46.6,168.3333,55.99,81,59,5.01,NZ,1616138783
25,moirang,24.5,93.7667,77,57,20,6.91,IN,1616138783
26,yellowknife,62.456,-114.3525,18,85,1,5.75,CA,1616138783
27,busselton,-33.65,115.3333,93,24,100,3,AU,1616138784
28,bengkulu,-3.8004,102.2655,83.7,70,89,7.87,ID,1616138784
29,marica,-22.9194,-42.8186,81,78,20,4.61,BR,1616138785
